,timestamp,value,station_name,station_no,station_latitude,station_longitude
239,2010-02-01,93.8,Ladyflat Farm,368486,55.7563671174819,-2.36950120236659
240,2010-02-01,86.6,Lagafater Lodge,115600,55.04328363,-4.913741812
241,2010-02-01,0.0,Cairngorm Raingauge and Snow Scale,523676,57.1277019960426,-3.66295585786453
242,2010-02-01,0.0,Unthank Raingauge,506152,55.2428144328791,-2.96407300182699
243,2010-02-01,78.6,Killilan,234252,57.31881832,-5.424835603
244,2010-02-01,0.0,Carmyllie-Hume Farm,577951,56.5746496931231,-2.74133187731856
245,2010-02-01,50.2,Sorbie,115648,54.79252816,-4.42628864
246,2010-02-01,67.4,Killermont Raingauge,341380,55.91108458,-4.305014408
247,2010-02-01,28.2,Kindrogan,14955,56.74926972,-3.544931301
248,2010-02-01,22.6,Garrogie Lodge,464495,57.17006125,-4.442843871
249,2010-02-01,50.0,Cambo Sands,338380,56.3008799,-2.650067453
250,2010-02-01,105.0,Deanston RG,341338,56.19223931,-4.077181451
251,2010-02-01,93.8,Charr,234183,56.94084906,-2.619402267
252,2010-02-01,59.0,Castle Kennedy,116042,54.90675279,-4.944931414
253,2010-02-01,89.8,Kilphedir,234253,58.1413891058536,-3.70281401936696
254,2010-02-01,36.8,Capenoch Raingauge,576753,55.2266681707693,-3.8169342186531
255,2010-02-01,31.2,Solwaybank,115647,55.08629786,-3.086937218
256,2010-02-01,0.0,Kinbuck,14890,56.2255551,-3.949530685
257,2010-02-01,92.0,Strathyre,15172,56.32054504,-4.328975608
258,2010-02-01,50.8,Chesters,15004,55.3786296146422,-2.58960768063178
259,2010-02-01,45.0,Keith,367360,57.55084994,-2.952079018
260,2010-02-01,40.0,Prestwick,344764,55.50523784,-4.610940702
261,2010-02-01,38.6,Garls Craig,301168,55.36599829,-3.616030256
262,2010-02-01,27.0,Canonbie Raingauge,306455,55.07786221,-2.942088127
263,2010-02-01,44.2,Kingledores,14972,55.54240926,-3.413947163
264,2010-02-01,0.0,Camphill WTW Raingauge,490984,55.75032761,-4.74461262
265,2010-02-01,91.8,Kinkell Bridge,14968,56.33018709,-3.726992915
266,2010-02-01,68.8,Killin,14933,56.45816211,-4.331876561
267,2010-02-01,78.8,Dunglass,15208,55.94267446,-2.382881362
268,2010-02-01,74.4,Shiplaw,14975,55.7279691733531,-3.20729143414443
269,2010-02-01,0.0,Quinloch Farm,115638,56.0079586,-4.377500029
270,2010-02-01,0.0,Rest and be Thankful,485490,56.22216848,-4.859016846
271,2010-02-01,97.4,Quarry Head,335575,57.63465034,-2.025944065
272,2010-02-01,41.0,Aberlour,234150,57.48021805,-3.205975095
273,2010-02-01,0.0,Dunnottar Radio Station,509196,56.9465249628923,-2.21202446021694
274,2010-02-01,0.0,Kinghorn Ecology Centre Rain Gauge,473550,56.07462319,-3.193432968
275,2010-03-01,82.2,Glenquey,464636,56.20739317,-3.642080305
276,2010-03-01,96.8,Hydro Gardens Moffat,115584,55.34214596,-3.452988353
277,2010-03-01,127.6,Low Creoch,115611,54.90352684,-4.18922643
278,2010-03-01,135.4,Amod Farm,115501,55.35009103,-5.717857841
279,2010-03-01,75.4,Strathkelvin House,300383,55.94300475,-4.172710018
280,2010-03-01,107.4,Torduff,15190,55.8968016,-3.267160193
281,2010-03-01,42.0,Colliston,14921,56.61000991,-2.637841019
282,2010-03-01,74.8,St Monance,335620,56.2047855,-2.78271364
283,2010-03-01,71.6,Tulchan,115247,57.399186873922,-3.44381881984428
284,2010-03-01,35.6,Gella Bridge,14916,56.77535832,-3.027929218
285,2010-03-01,50.6,Gairnshiel,115223,57.09199509,-3.165582141
286,2010-03-01,91.2,Corrimony,115322,57.33501743,-4.699729622
287,2010-03-01,87.2,Ashgrove,115506,55.66308049,-4.757486092
288,2010-03-01,91.8,Fourmerkland,115565,55.1650788,-3.412506453
289,2010-03-01,60.6,Clachan-Seil,115534,56.30375755,-5.601429727
290,2010-03-01,75.2,Irvine Gailes,115589,55.58754361,-4.663320263
291,2010-03-01,0.0,Frenich Farm,552790,56.2269416185393,-4.56047224967827
292,2010-03-01,109.6,Kingledores,14972,55.54240926,-3.413947163
293,2010-03-01,139.8,Drumjohn,115557,55.24992466,-4.32205779
294,2010-03-01,81.0,Burnfoot (Hawknest),115523,55.66513433,-3.895712474
295,2010-03-01,0.0,Kirkwall,515885,58.9862236273856,-2.9493528634113
296,2010-03-01,0.0,Dunnottar Radio Station,509196,56.9465249628923,-2.21202446021694
297,2010-03-01,55.2,Spey Dam,234315,57.01121062,-4.336367491
298,2010-03-01,62.6,Wardend Bridge,234331,57.58239454,-3.608335401
299,2010-03-01,56.0,Broadside,335609,56.02806207,-3.978158502
300,2010-03-01,65.4,Lathro,14902,56.2213192,-3.42872292
301,2010-03-01,0.0,Kinghorn Ecology Centre Rain Gauge,473550,56.07462319,-3.193432968
302,2010-03-01,0.0,Balgray RG,490985,55.73428872,-4.5878755
303,2010-03-01,0.0,Mill Of Gavel,205209,57.55561687,-2.009109628
304,2010-03-01,95.0,Rhian Bridge,115390,58.11499626,-4.439159665
305,2010-03-01,74.2,Whitburn,14881,55.87157334,-3.682936938
306,2010-03-01,73.0,Polmonthill STW,15187,55.99776804,-3.680208641
307,2010-03-01,0.0,Strowan,361047,56.36918493,-3.92115763
308,2010-03-01,39.4,Drummore of Cantray,377134,57.48325079,-4.006176025
309,2010-03-01,90.8,Lukeston,327237,55.98447497,-4.240765022
310,2010-03-01,57.0,Dingwall,115329,57.5999202496956,-4.44699709665912
311,2010-03-01,101.4,Solwaybank,115647,55.08629786,-3.086937218
312,2010-03-01,64.0,Newton of Falkland,15083,56.25431474,-3.186268594
313,2010-03-01,91.2,Harperrig,15200,55.83652095,-3.435270947
314,2010-03-01,28.2,Tromie Bridge,234327,57.0717185,-3.998638147
315,2010-03-01,108.0,Penwhapple Reservoir,335375,55.23585144,-4.747897404
316,2010-03-01,144.2,Dosmucheran,234202,57.59587318,-5.005770119
317,2010-03-01,38.2,Glenochil,14891,56.14364525,-3.839304837
318,2010-03-01,65.6,North Berwick (Kingston),335621,56.03149667,-2.734270572
319,2010-03-01,119.8,Kirkcaldy,335617,56.11765342,-3.147961765
320,2010-03-01,58.6,Delnashaugh,234198,57.39970792,-3.357845061
321,2010-03-01,70.2,Dallachy No 2,205724,57.66404417,-3.071018416
322,2010-03-01,106.0,Little Assynt,234264,58.1743810886208,-5.15230276806827
323,2010-03-01,198.0,Loch Ailsh Level,354613,58.04827715,-4.855312073
324,2010-03-01,0.0,Cairngorm Raingauge and Snow Scale,523676,57.1277019960426,-3.66295585786453
325,2010-03-01,0.0,Dundreggan Rain Gauge,530175,57.1916154062172,-4.76763419920281
326,2010-03-01,133.2,Craigdarroch,115541,55.196659,-3.981943267
327,2010-03-01,0.0,Loch Restil,485489,56.23604254,-4.853369348
328,2010-03-01,108.8,Minnigaff,338429,54.9588823,-4.471659058
329,2010-03-01,132.4,Lagafater Lodge,115600,55.04328363,-4.913741812
330,2010-03-01,84.8,Dunnswood STW (Cumbernauld),15180,55.97221885,-3.954505606
331,2010-03-01,117.8,Gatelawbridge,115568,55.25076797,-3.730683565
332,2010-03-01,36.0,Nairn Dunbar Golf Course,341224,57.59406094,-3.842759406
333,2010-03-01,0.0,Baddinsgill Reservoir,15103,55.7838820984555,-3.39458495099376
334,2010-03-01,0.0,Culloden Battlefield,498341,57.47676464,-4.09126842
335,2010-03-01,0.0,Kinbuck,14890,56.2255551,-3.949530685
336,2010-03-01,115.0,Eliock,115562,55.34583036,-3.899113859
337,2010-03-01,115.4,Townfoot (Glencaple),323188,54.99473579,-3.568993615
338,2010-03-01,88.8,Beltmoss,327235,55.98678855,-4.056528766
339,2010-03-01,112.8,The Lecht,115244,57.20200168,-3.249607166
340,2010-03-01,48.2,Polhollick,234294,57.05514629,-3.083180673
341,2010-03-01,104.0,Ingleston Farm,115585,54.81170556,-4.166358356
342,2010-03-01,93.0,Inchvuilt,115354,57.40830735,-4.957620811
343,2010-03-01,0.0,Eskdalemuir Observatory,15100,55.3115132595484,-3.20679877544895
344,2010-03-01,136.8,Sgodachail,234305,57.8932766383122,-4.54697639942866
345,2010-03-01,96.8,Haddington STW,15226,55.9605092339233,-2.75022457021791
346,2010-03-01,80.0,Inverewe Garden,115356,57.77399694,-5.596995718
347,2010-03-01,91.8,Caldercruix STW,115526,55.88933558,-3.904553259
348,2010-03-01,27.4,Biggar Burn,368536,55.6503509335496,-3.54376527843482
349,2010-03-01,53.8,Torwinny,234326,57.52198313,-3.446843553
350,2010-03-01,88.4,Capenoch Raingauge,576753,55.2266681707693,-3.8169342186531
351,2010-03-01,3.2,Dalnamein,14960,56.79925858,-4.053453634
352,2010-03-01,46.0,Alford,234170,57.24230294,-2.717123004
353,2010-03-01,0.0,Lossiemouth,473167,57.71918475,-3.323337879
354,2010-03-01,77.4,Greenock,327292,55.94370132,-4.723991358
355,2010-03-01,3.0,Knockanrock,115363,58.03118174,-5.07294078
356,2010-03-01,0.0,Gifford Rain Gauge,474984,55.89043578,-2.768969478
357,2010-03-01,155.0,Scardroy No3,347562,57.51892459,-4.985935657
358,2010-03-01,0.0,Glen Ample,335745,56.354577358483,-4.26999369364804
359,2010-03-01,127.0,Nunraw Abbey,15215,55.92185875,-2.653499917
360,2010-03-01,58.6,Ormiston Mill,15007,55.5449192444277,-2.47331449245388
361,2010-03-01,71.4,Creed Bridge,234190,58.20454028,-6.424227928
362,2010-03-01,53.8,Dunbar,15216,56.00371307,-2.52752897
363,2010-03-01,54.8,Invermark,14926,56.91121364,-2.914811966
364,2010-03-01,55.4,Gordon Arms,14984,55.5113722712304,-3.09640690612754
365,2010-03-01,72.4,Flichity,115339,57.33128618,-4.221750189
366,2010-03-01,112.6,Forsinain,115340,58.41100711,-3.873563607
367,2010-03-01,26.0,Inverey,115230,56.98569953,-3.500915775
